id,type,activation_date,longitude,lease_type,gym,lift,swimming_pool,furnishing,parking,property_size,bathroom,facing,floor,total_floor,amenities,building_type,balconies,rent
2176,1,1513967100,77.56109251,0,0,1,0,2,0,800,2.0,1,3.0,3.0,636,0,2.0,16000.0
390,1,1488882840,77.53625617,0,0,0,0,2,3,1200,2.0,1,0.0,2.0,240,2,0.0,10000.0
3572,5,1532033340,77.63602527,0,0,0,0,2,0,350,1.0,0,3.0,3.0,286,3,1.0,12500.0
2780,1,1533328980,77.735438,0,1,1,1,2,0,1153,2.0,0,7.0,12.0,849,0,1.0,22500.0
3612,1,1529421120,77.69224941,3,0,0,0,2,0,1300,2.0,2,4.0,5.0,28,0,4.0,22000.0
2623,1,1536083340,77.55449666,3,0,0,0,2,0,1000,2.0,0,1.0,2.0,240,2,1.0,18000.0
1569,1,1505489940,77.63331912,0,0,0,0,1,3,1200,2.0,7,2.0,3.0,104,2,1.0,15000.0
382,1,1529251440,77.72558852,0,0,0,0,2,3,600,1.0,0,2.0,4.0,231,2,0.0,13500.0
2837,1,1521146220,77.67334915,3,0,0,0,2,3,600,1.0,1,2.0,4.0,202,2,1.0,14000.0
2750,0,1522776900,77.60513462,0,0,0,0,2,0,590,1.0,0,2.0,3.0,4,2,1.0,9000.0
51,0,1538588400,77.5659306,3,0,0,0,2,3,550,1.0,1,0.0,2.0,306,0,1.0,9000.0
814,0,1500732480,77.61655342,0,0,0,0,2,3,450,1.0,0,1.0,3.0,103,2,0.0,8000.0
3377,1,1532122380,77.55111832,3,0,0,0,2,3,850,2.0,0,1.0,3.0,227,2,1.0,15000.0
2928,2,1522337880,77.56703358,3,0,0,0,2,3,800,2.0,4,0.0,2.0,150,2,0.0,15000.0
294,1,1530224700,77.64909974,3,0,0,0,2,0,1300,2.0,1,2.0,2.0,303,3,1.0,28000.0
307,0,1505931540,77.6539609,1,0,0,0,2,3,400,2.0,1,1.0,2.0,241,2,1.0,10000.0
2088,5,1529785080,77.67901675,1,0,0,0,2,3,200,1.0,1,2.0,2.0,62,2,1.0,8000.0
1214,1,1501001400,77.55545807,0,0,0,0,2,3,800,1.0,0,1.0,1.0,240,2,1.0,10000.0
1421,1,1508966400,77.55757465,3,0,0,0,1,2,1000,1.0,0,1.0,1.0,94,2,1.0,14000.0
1310,0,1507744080,77.51990776,0,0,0,0,2,3,400,2.0,0,0.0,2.0,229,2,0.0,10000.0
1241,1,1504214760,77.58937537,0,0,1,0,2,0,900,2.0,2,3.0,5.0,788,0,1.0,20000.0
1210,1,1528113540,77.6837468,3,0,1,0,2,0,1125,2.0,0,3.0,4.0,751,0,2.0,24000.0
878,1,1522058880,77.7309925,0,1,1,1,2,0,1200,2.0,0,3.0,3.0,1128,0,2.0,23000.0
2227,2,1518784200,77.680381,3,1,1,1,2,0,1750,3.0,1,7.0,15.0,1394,0,2.0,38000.0
2429,2,1516976640,77.563528,3,0,0,0,2,3,1345,2.0,4,1.0,2.0,202,2,1.0,16500.0
2301,0,1535812920,77.55301255,3,0,0,0,1,0,400,1.0,0,1.0,2.0,202,2,1.0,8000.0
3896,1,1532634720,77.7145171,3,0,1,0,2,0,1190,2.0,1,1.0,4.0,732,0,2.0,20000.0
665,1,1523113260,77.75200658,3,0,1,0,2,0,1050,2.0,7,4.0,4.0,522,0,2.0,16000.0
3806,0,1533069000,77.64912684,0,0,0,0,1,3,600,1.0,1,1.0,2.0,202,3,0.0,11000.0
1514,2,1499637060,77.5456318,3,0,0,0,2,3,1100,2.0,0,2.0,2.0,306,2,1.0,13000.0
751,2,1510508700,77.59917943,3,0,0,0,2,3,1200,2.0,1,0.0,2.0,146,2,0.0,25000.0
3199,1,1538734740,77.7642278,3,0,0,0,2,0,1100,2.0,0,2.0,3.0,89,2,1.0,16800.0
